epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3841,1.8442,2.76174,1.97838,0.15799,0.07068,0.02226,0.00694,2.83831,4.75765,2.79116,0.00328829,0.00328829,0.0704054
2,22.397,2.07568,3.21237,2.21665,0.3004,0.06502,0.00399,0.00099,3.24146,44.3523,4.50643,0.00659977,0.00659977,0.0403836
3,33.7918,2.14514,3.32908,2.24208,0.00021,0.02787,3e-05,1e-05,nan,nan,nan,0.00988925,0.00988925,0.0103397
4,43.6322,2.08913,3.4012,2.2443,0.15556,0.0472,0.00594,0.0012,3.05006,4.57151,3.46367,0.009901,0.009901,0.009901
5,53.3037,2.07772,3.31646,2.23002,0.36672,0.07656,0.0313,0.00833,2.91718,3.77771,3.0006,0.009868,0.009868,0.009868
6,63.2746,2.05294,3.27567,2.17711,0.25869,0.15295,0.0634,0.02237,2.40595,4.27745,2.39749,0.009835,0.009835,0.009835
7,73.4536,2.03476,3.18951,2.13521,0.23808,0.13556,0.05919,0.02102,2.4054,3.5077,2.44594,0.009802,0.009802,0.009802
8,83.4833,1.99228,3.19341,2.13162,0.27626,0.16551,0.08993,0.02829,2.38872,3.20453,2.41627,0.009769,0.009769,0.009769
9,93.4743,1.97393,3.15473,2.12206,0.22806,0.08997,0.03562,0.0083,2.88104,3.42843,2.88191,0.009736,0.009736,0.009736
10,103.352,1.92922,3.0827,2.08262,0.14331,0.18381,0.0936,0.03179,2.42149,3.12263,2.38037,0.009703,0.009703,0.009703
11,113.069,1.92838,3.01082,2.05931,0.32479,0.21785,0.10299,0.04048,2.17522,2.91705,2.17163,0.00967,0.00967,0.00967
12,122.92,1.91161,2.99543,2.03524,0.15445,0.22644,0.12242,0.0374,2.34981,2.9712,2.26502,0.009637,0.009637,0.009637
13,132.562,1.91688,2.95242,2.04533,0.28697,0.17752,0.08806,0.02842,2.44049,3.33055,2.40792,0.009604,0.009604,0.009604
14,142.911,1.90321,2.93556,2.02988,0.20254,0.2095,0.12807,0.04656,2.23889,2.75843,2.18287,0.009571,0.009571,0.009571
15,152.635,1.88464,2.95554,2.0102,0.199,0.22792,0.13105,0.04742,2.2503,2.90156,2.16345,0.009538,0.009538,0.009538
16,162.283,1.85387,2.89109,1.97409,0.30745,0.21011,0.13285,0.04989,2.20097,2.72756,2.14276,0.009505,0.009505,0.009505
17,171.819,1.85046,2.8537,2.00056,0.16598,0.26918,0.12518,0.04637,2.25527,2.74237,2.17729,0.009472,0.009472,0.009472
18,181.442,1.85356,2.84089,1.99405,0.36328,0.2443,0.14317,0.05898,2.10664,2.71502,2.10097,0.009439,0.009439,0.009439
19,191.144,1.85443,2.83628,1.98756,0.19371,0.26753,0.16514,0.06558,2.15422,2.48822,2.10758,0.009406,0.009406,0.009406
20,200.966,1.83672,2.84833,1.99334,0.34615,0.23632,0.16609,0.06439,2.15154,2.49954,2.07716,0.009373,0.009373,0.009373
21,210.655,1.84102,2.86431,1.9764,0.22141,0.23444,0.15771,0.04592,2.45475,2.6699,2.28127,0.00934,0.00934,0.00934
22,220.165,1.83391,2.8216,1.97838,0.34263,0.28155,0.15462,0.06071,2.1382,2.56419,2.06463,0.009307,0.009307,0.009307
23,229.673,1.83001,2.77433,1.94961,0.1881,0.23981,0.16256,0.06592,2.19549,2.56041,2.11206,0.009274,0.009274,0.009274
24,239.247,1.80024,2.7817,1.92805,0.35441,0.27305,0.19501,0.07685,2.06878,2.42835,2.01478,0.009241,0.009241,0.009241
25,248.895,1.83809,2.79798,1.96275,0.22377,0.22576,0.15443,0.06618,2.07836,2.62238,2.00927,0.009208,0.009208,0.009208
26,258.483,1.82248,2.74598,1.95933,0.20544,0.24444,0.17429,0.08124,2.03265,2.53901,1.99922,0.009175,0.009175,0.009175
27,268.026,1.79623,2.72229,1.9301,0.16133,0.26077,0.18052,0.06453,2.23013,2.45393,2.09204,0.009142,0.009142,0.009142
28,277.758,1.81348,2.73404,1.93638,0.38605,0.24871,0.21636,0.08817,1.97937,2.38018,1.93756,0.009109,0.009109,0.009109
29,287.561,1.78757,2.73799,1.9386,0.22635,0.24711,0.16957,0.05752,2.21629,2.62929,2.15883,0.009076,0.009076,0.009076
30,297.177,1.79974,2.7564,1.95667,0.4544,0.2415,0.19555,0.08318,2.00914,2.45173,1.96219,0.009043,0.009043,0.009043
31,306.785,1.7616,2.69957,1.91924,0.37071,0.30829,0.20648,0.08531,2.04452,2.42708,1.97346,0.00901,0.00901,0.00901
32,316.558,1.79113,2.72583,1.91387,0.37889,0.30157,0.21262,0.09622,1.95623,2.33962,1.89632,0.008977,0.008977,0.008977
33,326.222,1.78483,2.68178,1.91243,0.2692,0.33129,0.23961,0.1108,1.89392,2.29377,1.88286,0.008944,0.008944,0.008944
34,336.171,1.77303,2.64399,1.92267,0.20483,0.25493,0.18866,0.08065,2.02067,2.57187,1.98445,0.008911,0.008911,0.008911
35,345.886,1.77096,2.64566,1.92152,0.20466,0.22075,0.1802,0.08689,1.928,2.41081,1.87738,0.008878,0.008878,0.008878
